TIME: 1698307430627.075928, VX: 0.000304, VY: -0.000199
TIME: 1698307430660.170898, VX: 0.000442, VY: -0.000178
TIME: 1698307430693.675781, VX: 0.000336, VY: -0.000108
TIME: 1698307430727.036865, VX: 0.000159, VY: 0.000018
TIME: 1698307430760.198730, VX: 0.000101, VY: 0.000038
TIME: 1698307430793.685791, VX: 0.000038, VY: -0.000131
TIME: 1698307430827.061768, VX: 0.000097, VY: -0.000231
TIME: 1698307430860.158936, VX: 0.000051, VY: -0.000125
TIME: 1698307430893.682861, VX: 0.000065, VY: -0.000014
TIME: 1698307430927.092773, VX: 0.000037, VY: 0.000012
TIME: 1698307430960.175781, VX: -0.000034, VY: -0.000007
TIME: 1698307430993.683838, VX: -0.000017, VY: 0.000138
TIME: 1698307431027.056885, VX: 0.000055, VY: 0.000312
TIME: 1698307431060.300781, VX: 0.000026, VY: 0.000274
TIME: 1698307431093.563721, VX: -0.000008, VY: 0.000285
TIME: 1698307431127.066895, VX: 0.000050, VY: 0.000342
TIME: 1698307431160.480957, VX: 0.000066, VY: 0.000354
TIME: 1698307431193.540771, VX: -0.000002, VY: 0.000262
TIME: 1698307431227.045898, VX: 0.000081, VY: 0.000360
TIME: 1698307431260.442871, VX: 0.000099, VY: 0.000380
TIME: 1698307431293.553955, VX: -0.000042, VY: 0.000139
TIME: 1698307431327.057861, VX: 0.000003, VY: 0.000174
TIME: 1698307431360.485840, VX: 0.000015, VY: 0.000168
TIME: 1698307431393.548828, VX: -0.000033, VY: 0.000053
TIME: 1698307431427.067871, VX: -0.000008, VY: 0.000076
TIME: 1698307431460.432861, VX: -0.000028, VY: 0.000113
TIME: 1698307431493.595947, VX: -0.000073, VY: 0.000202
TIME: 1698307431527.045898, VX: -0.000118, VY: 0.000063
TIME: 1698307431560.417725, VX: -0.000053, VY: 0.000058
TIME: 1698307431593.667725, VX: -0.000059, VY: 0.000070
TIME: 1698307431626.920898, VX: -0.000087, VY: 0.000160
TIME: 1698307431660.403809, VX: -0.000187, VY: -0.000030
TIME: 1698307431693.832764, VX: -0.000137, VY: -0.000094
TIME: 1698307431726.946777, VX: -0.000082, VY: -0.000025
TIME: 1698307431760.516846, VX: -0.000110, VY: 0.000073
TIME: 1698307431793.806885, VX: -0.000178, VY: 0.000096
TIME: 1698307431826.936768, VX: -0.000209, VY: 0.000177
TIME: 1698307431860.397949, VX: -0.000301, VY: 0.000048
TIME: 1698307431893.801758, VX: -0.000280, VY: -0.000049
